Исходное слово | Перевод | Количество упоминаний
по | by | 3
я | I | 3
че | that | 3
рассказать | tell | 3
ну | Well | 2
халява | freebie | 2
история | history | 2
там | there | 2
сейчас | Now | 2
в | V | 2
так | So | 2
пойти | go | 2
около | around | 2
факт | fact | 1
ты | You | 1
орг | org | 1
получить | get | 1
сложно? | difficult? | 1
пока | Bye | 1
нет | No | 1
2 | 2 | 1
этап | stage | 1
дефолтный | default | 1
а | A | 1
теперь | Now | 1
при | at | 1
она | she | 1
решать | decide | 1
пиздец | fuck | 1
сдать | pass | 1
потом | Then | 1
как | How | 1
всё | All | 1
произойти | happen | 1
илюха | Ilyukha | 1
уйти | leave | 1
пятница | Friday | 1
прийти | come | 1
красава | beautiful | 1
и | And | 1
на | on | 1
пересдача | retake | 1
бы | would | 1
вместе | together | 1
быть | be | 1
братски | brotherly | 1
